RecID|PriceCode|Description|Price
1|D-01-101|5/8 in x 25 ft Type 30 API Class C Class T Coupling|1.21
2|D-01-102|5/8 in x 25 ft Type 40 API Class K Class T Coupling|1.66
3|D-01-103|5/8 in x 25 ft Type 78 API Class D Class T Coupling|1.29
4|D-01-104|5/8 in x 25 ft Type 90 API Class D Class T Coupling|1.66
5|D-01-111|3/4 in x 25 ft Type 30 API Class C Class T Coupling|1.4
6|D-01-112|3/4 in x 25 ft Type 40 API Class K Class T Coupling|1.97
7|D-01-113|3/4 in x 25 ft Type 78 API Class D Class T Coupling|1.51
8|D-01-114|3/4 in x 25 ft Type 90 API Class D Class T Coupling|1.97
9|D-01-121|7/8 in x 25 ft Type 30 API Class C Class T Coupling|1.75
10|D-01-122|7/8 in x 25 ft Type 40 API Class K Class T Coupling|2.56
11|D-01-123|7/8 in x 25 ft Type 78 API Class D Class T Coupling|1.92
12|D-01-124|7/8 in x 25 ft Type 90 API Class D Class T Coupling|2.56
13|D-01-131|1 in x 25 ft Type 30 API Class C Class T Coupling|2.58
14|D-01-132|1 in x 25 ft Type 40 API Class K Class T Coupling|3.35
15|D-01-133|1 in x 25 ft Type 78 API Class D Class T Coupling|2.8
16|D-01-134|1 in x 25 ft Type 90 API Class D Class T Coupling|3.35
17|D-01-144|1-1/8 in x 25 ft Type 90 API Class D Class T Coupling|5.26
18|D-01-151|5/8 in x 25 ft Type 30 API Class C Sprayloy (Hard Surface) Coupling|1.5
19|D-01-152|5/8 in x 25 ft Type 40 API Class K Sprayloy (Hard Surface) Coupling|1.94
20|D-01-153|5/8 in x 25 ft Type 78 API Class D Sprayloy (Hard Surface) Coupling|1.57
21|D-01-154|5/8 in x 25 ft Type 90 API Class D Sprayloy (Hard Surface) Coupling|1.94
22|D-01-161|3/4 in x 25 ft Type 30 API Class C Sprayloy (Hard Surface) Coupling|1.71
23|D-01-162|3/4 in x 25 ft Type 40 API Class K Sprayloy (Hard Surface) Coupling|2.28
24|D-01-163|3/4 in x 25 ft Type 78 API Class D Sprayloy (Hard Surface) Coupling|1.82
25|D-01-164|3/4 in x 25 ft Type 90 API Class D Sprayloy (Hard Surface) Coupling|2.28
26|D-01-171|7/8 in x 25 ft Type 30 API Class C Sprayloy (Hard Surface) Coupling|2.13
27|D-01-172|7/8 in x 25 ft Type 40 API Class K Sprayloy (Hard Surface) Coupling|2.93
28|D-01-173|7/8 in x 25 ft Type 78 API Class D Sprayloy (Hard Surface) Coupling|2.3
29|D-01-174|7/8 in x 25 ft Type 90 API Class D Sprayloy (Hard Surface) Coupling|2.93
30|D-01-181|1 in x 25 ft Type 30 API Class C Sprayloy (Hard Surface) Coupling|3.07
31|D-01-182|1 in x 25 ft Type 40 API Class K Sprayloy (Hard Surface) Coupling|3.84
32|D-01-183|1 in x 25 ft Type 78 API Class D Sprayloy (Hard Surface) Coupling|3.31
33|D-01-184|1 in x 25 ft Type 90 API Class D Sprayloy (Hard Surface) Coupling|3.84
34|D-01-194|1-1/8 in x 25 ft Type 90 API Class D Sprayloy (Hard Surface) Coupling|5.41
35|D-01-195|5/8 in x 25 ft Type 97 Special Class Class T Coupling|2.07
36|D-01-196|3/4 in x 25 ft Type 97 Special Class Class T Coupling|2.46
37|D-01-197|7/8 in x 25 ft Type 97 Special Class Class T Coupling|3.2
38|D-01-198|1 in x 25 ft Type 97 Special Class Class T Coupling|4.19
39|D-01-199|1-1/8 in x 25 ft Type 97 Special Class Class T Coupling|7.52
40|D-01-200|5/8 in x 25 ft Type 97 Special Class Sprayloy (Hard Surface) Coupling|2.35
41|D-01-201|3/4 in x 25 ft Type 97 Special Class Sprayloy (Hard Surface) Coupling|2.77
42|D-01-202|7/8 in x 25 ft Type 97 Special Class Sprayloy (Hard Surface) Coupling|3.57
43|D-01-203|1 in x 25 ft Type 97 Special Class Sprayloy (Hard Surface) Coupling|4.68
44|D-01-204|1-1/8 in x 25 ft Type 97 Special Class Sprayloy (Hard Surface) Coupling|8.18
45|D-03-301|3/4 in x 37.5 ft     Pin/Pin 5/8 in  API Rod Only |2.58
46|D-03-302|3/4 in x 37.5 ft     Pin/Pin 5/8 in  API With Class T Slim Hole or Full Hole API Coupling |2.68
47|D-03-303|3/4 in x 37.5 ft     Pin/Pin 5/8 in  API With Spray Metal Slim Hole or Full Hole API Coupli |2.84
48|D-03-311|7/8 in x 37.5 ft     Pin/Pin 3/4 in  API Rod Only |2.87
49|D-03-312|7/8 in x 37.5 ft     Pin/Pin 3/4 in  API With Class T Slim Hole or Full Hole API Coupling |2.98
50|D-03-313|7/8 in x 37.5 ft     Pin/Pin 3/4 in  API With Spray Metal Slim Hole or Full Hole API Coupli |3.13
51|D-03-321|1 in x 37.5 ft         Pin/Pin 7/8 in  API Rod Only |3.32
52|D-03-322|1 in x 37.5 ft         Pin/Pin 7/8 in  API With Class T Slim Hole or Full Hole API Coupling |3.47
53|D-03-323|1 in x 37.5 ft         Pin/Pin 7/8 in  API With Spray Metal Slim Hole or Full Hole API Coupli |3.66
54|D-03-324|1-1/2 in x 37.5 ft  Pin/Pin 7/8 in  API Rod Only |4.41
55|D-03-325|1-1/2 in x 37.5 ft  Pin/Pin 7/8 in  API With Class T Slim Hole or Full Hole API Coupling |4.56
56|D-03-326|1-1/2 in x 37.5 ft  Pin/Pin 7/8 in  API With Spray Metal Slim Hole or Full Hole API Coupli |4.75
57|D-03-331|1-1/4 in x 37.5 ft  Pin/Pin 1 in  API Rod Only |4.69
58|D-03-332|1-1/4 in x 37.5 ft  Pin/Pin 1 in  API With Class T Slim Hole or Full Hole API Coupling |4.91
59|D-03-333|1-1/4 in x 37.5 ft  Pin/Pin 1 in  API With Spray Metal Slim Hole or Full Hole API Coupli |5.16
60|D-03-334|1-1/2 in x 37.5 ft  Pin/Pin 1 in  API Rod Only |8.51
61|D-03-335|1-1/2 in x 37.5 ft  Pin/Pin 1 in  API With Class T Slim Hole or Full Hole API Coupling |8.74
62|D-03-336|1-1/2 in x 37.5 ft  Pin/Pin 1 in  API With Spray Metal Slim Hole or Full Hole API Coupli |8.98
63|D-03-337|1-1/5 in x 37.5 ft  Pin/Pin 1 in  API Rod Only |8.51
64|D-03-338|1-1/5 in x 37.5 ft  Pin/Pin 1 in  API With Class T Slim Hole or Full Hole API Coupling |8.74
65|D-03-339|1-1/5 in x 37.5 ft  Pin/Pin 1 in  API With Spray Metal Slim Hole or Full Hole API Coupli |9
66|E-01-1001|10-32-18 T - Base |1348.8
67|E-01-1002|10-32-18 EP - Base |1425.6
68|E-01-1301|13-32-24 T - Base |1545.6
69|E-01-1302|13-32-24 EP - Base |1641.6
70|E-01-1601|16-40-24 T - Base |2078.4
71|E-01-1602|16-40-24 EP - Base |2212.8
72|E-01-1603|16-40-24 GP - Base |2308.8
73|E-01-1604|16-53-30 T - Base |2140.8
74|E-01-1605|16-53-30 EP - Base |2299.2
75|E-01-1606|16-53-30 GP - Base |2404.8
76|E-01-641|6.4-28-12 T - Base |1185.6
77|E-01-642|6.4-28-12 EP - Base |1281.6
78|E-01-643|6.4-32-16 T - Base |1243.2
79|E-01-644|6.4-32-16 EP - Base |1320
80|E-02-11401|Conventional 114D-119-86-C |17913.6
81|E-02-11402|Conventional 114D-133-54-C |16151.04
82|E-02-11403|Conventional 114D-143-64-C |17384.64
83|E-02-11404|Conventional 114D-143-74-C |18111.36
84|E-02-11405|Conventional 114D-173-54-C |18380.16
85|E-02-11406|Conventional 114D-173-64-C |19104.96
86|E-02-11411|Special Geometry 114D-143-64-SG |19804.8
87|E-02-11412|Special Geometry 114D-143-74-SG |19824.96
88|E-02-11413|Special Geometry 114D-143-86-SG |21869.76
89|E-02-11414|Special Geometry 114D-173-64-SG |22051.2
90|E-02-11415|Special Geometry 114D-173-74-SG |23356.8
91|E-02-11421|Air Balance 114D-173-64-A |24638.4
92|E-02-128011|Special Geometry 1280D-427-192 |110141.76
93|E-02-128012|Special Geometry 1280D-427-216 |110980.8
94|E-02-128021|Air Balance 1280D-305-168 |110999.04
95|E-02-128022|Air Balance 1280D-427-192 |116416.32
96|E-02-128023|Air Balance 1280D-427-216 |123939.84
97|E-02-128024|Air Balance 1280D-470-240 |134080.32
98|E-02-16001|Conventional 160D-143-64 |19713.6
99|E-02-16002|Conventional 160D-143-74 |21116.16
100|E-02-16003|Conventional 160D-173-64 |21768.96
101|E-02-16004|Conventional 160D-173-74 |22182.72
102|E-02-16005|Conventional 160D-173-86 |23467.2
103|E-02-16006|Conventional 160D-173-100 |23805.12
104|E-02-16007|Conventional 160D-200-74 |23118.72
105|E-02-16011|Special Geometry 160D-173-74 |24352.32
106|E-02-16012|Special Geometry 160D-173-86 |25562.88
107|E-02-16013|Special Geometry 160D-200-74 |25368
108|E-02-16014|Special Geometry 160D-213-86 |27044.16
109|E-02-16021|Air Balance 160D-200-74 |30949.44
110|E-02-182421|Air Balance 1824D-427-192 |126099.84
111|E-02-182422|Air Balance 1824D-427-216 |133090.56
112|E-02-182423|Air Balance 1824D-470-240 |143194.56
113|E-02-182430|Special Geometry 1824D-427-216 |121814.4
114|E-02-22801|Conventional 228D-173-74 |24471.36
115|E-02-22802|Conventional 228D-173-100 |25385.28
116|E-02-22803|Conventional 228D-200-74 |25373.76
117|E-02-22804|Conventional 228D-213-86 |26117.76
118|E-02-22805|Conventional 228D-213-100 |27350.4
119|E-02-22806|Conventional 228D-213-120 |29766.72
120|E-02-22807|Conventional 228D-246-86 |27059.52
121|E-02-22811|Special Geometry 228D-173-74 |29198.4
122|E-02-22812|Special Geometry 228D-173-100 |32475.84
123|E-02-22813|Special Geometry 228D-200-74 |29667.84
124|E-02-22814|Special Geometry 228D-213-86 |32441.28
125|E-02-22815|Special Geometry 228D-213-120 |34464
126|E-02-22816|Special Geometry 228D-246-86 |33828.48
127|E-02-22817|Special Geometry 228D-256-100 |34406.4
128|E-02-22818|Special Geometry 228D-256-120 |35377.92
129|E-02-22821|Air Balance 228D-173-100 |38526.72
130|E-02-22822|Air Balance 228D-246-86 |36499.2
131|E-02-2501|Conventional 25D-53-30 |8450.88
132|E-02-2502|Conventional 25D-56-36 |8809.92
133|E-02-2503|Conventional 25D-67-30 |8962.56
134|E-02-2504|Conventional 25D-67-36 |9225.6
135|E-02-256021|Air Balance 2560D-470-240 |182030.4
136|E-02-32001|Conventional 320D-213-86 |29041.92
137|E-02-32002|Conventional 320D-213-100 |29041.92
138|E-02-32003|Conventional 320D-213-120 |33390.72
139|E-02-32004|Conventional 320D-246-74 |30057.6
140|E-02-32005|Conventional 320D-246-86 |33010.56
141|E-02-32006|Conventional 320D-256-100 |33515.52
142|E-02-32007|Conventional 320D-256-120 |34800
143|E-02-32008|Conventional 320D-256-144 |39562.56
144|E-02-32009|Conventional 320D-305-100 |35223.36
145|E-02-32011|Special Geometry 320D-213-120 |37560.96
146|E-02-32012|Special Geometry 320D-256-100 |39024
147|E-02-32013|Special Geometry 320D-256-120 |39420.48
148|E-02-32014|Special Geometry 320D-256-144 |43239.36
149|E-02-32015|Special Geometry 320D-305-100 |40300.8
150|E-02-32016|Special Geometry 320D-305-120 |43229.76
151|E-02-32021|Air Balance 320D-256-120 |46442.88
152|E-02-32022|Air Balance 320D-305-100 |44151.36
153|E-02-4001|Conventional 40D-76-42 |9746.88
154|E-02-4002|Conventional 40D-76-48 |10047.36
155|E-02-4003|Conventional 40D-89-36 |10118.4
156|E-02-4004|Conventional 40D-89-42 |10198.08
157|E-02-45601|Conventional 456D-213-120 |39531.84
158|E-02-45602|Conventional 456D-256-100 |41004.48
159|E-02-45603|Conventional 456D-256-120 |41393.28
160|E-02-45604|Conventional 456D-256-144 |44967.36
161|E-02-45605|Conventional 456D-305-120 |43085.76
162|E-02-45606|Conventional 456D-305-144 |46851.84
163|E-02-45607|Conventional 456D-305-168 |48633.6
164|E-02-45608|Conventional 456D-365-120 |49103.04
165|E-02-45611|Special Geometry 456D-256-120 |45357.12
166|E-02-45612|Special Geometry 456D-256-144 |48853.44
167|E-02-45613|Special Geometry 456D-305-120 |47250.24
168|E-02-45614|Special Geometry 456D-305-144 |50002.56
169|E-02-45615|Special Geometry 456D-305-168 |54466.56
170|E-02-45616|Special Geometry 456D-365-120 |53552.64
171|E-02-45617|Special Geometry 456D-365-144 |53526.72
172|E-02-45621|Air Balance 456D-256-120 |49851.84
173|E-02-45622|Air Balance 456D-305-144 |52121.28
174|E-02-45623|Air Balance 456D-365-120 |51446.4
175|E-02-5701|Conventional 57D-76-42 |10670.4
176|E-02-5702|Conventional 57D-76-54 |11389.44
177|E-02-5703|Conventional 57D-89-42 |11036.16
178|E-02-5704|Conventional 57D-95-48 |11745.6
179|E-02-5705|Conventional 57D-109-48 |12128.64
180|E-02-64001|Conventional 640D-256-144 |48633.6
181|E-02-64002|Conventional 640D-305-120 |46817.28
182|E-02-64003|Conventional 640D-305-144 |50502.72
183|E-02-64004|Conventional 640D-305-168 |52721.28
184|E-02-64005|Conventional 640D-365-120 |52852.8
185|E-02-64006|Conventional 640D-365-144 |53870.4
186|E-02-64007|Conventional 640D-365-168 |54388.8
187|E-02-64011|Special Geometry 640D-256-144 |54686.4
188|E-02-64012|Special Geometry 640D-305-120 |53607.36
189|E-02-64013|Special Geometry 640D-305-144 |54043.2
190|E-02-64014|Special Geometry 640D-305-168 |55858.56
191|E-02-64015|Special Geometry 640D-305-192 |63558.72
192|E-02-64016|Special Geometry 640D-365-144 |57157.44
193|E-02-64021|Air Balance 640D-305-144 |56959.68
194|E-02-64022|Air Balance 640D-305-168 |61533.12
195|E-02-64023|Air Balance 640D-365-120 |54387.84
196|E-02-64024|Air Balance 640D-427-144 |59400.96
