Record ID|Description|EqNumber
1|HARTZELL,54-29-V00,BLOWER Centrifugal Blower|000000000001129705
2|HARTZELL,54-36-V00,BLOWER Centrifugal Blower|000000000001129706
3|NEW YORK BLOWER CO.,SERIES 20 GI,BLOWER Centrifugal Blower|000000000001177671
4|MAXON,FG,C-9180,BLOWER Centrifugal Blower|000000000001190397
5|2" XH BLK SRL PIPE Flow Line/Injection Line|000000000001032700
6|TANK, WELDED:STEEL,CYLINDRICAL,>300 BBL Tank (All Types)|000000000001033245
7|WEMCO,120 Tank (All Types)|000000000001062669
8|2" STD PIPE-CL Flow Line/Injection Line|000000000001071030
9|3" STD PIPE -CS Flow Line/Injection Line|000000000001071031
10|3" LACT UNIT Lease Auto. Custody Transfer|000000000001085571
11|TANK, WELDED STEEL 38 ft-8 in x 24 ft Tank (All Types)|000000000001104186
12|TANK, WELDED STEEL 55 ft in x 24 ft Tank (All Types)|000000000001104187
13|TANK, WELDED STEEL,2000 BBL Tank (All Types)|000000000001109749
14|TANK, WELDED STEEL,3000 BBL Tank (All Types)|000000000001109750
15|TANK, WELDED STEEL,5000 BBL Tank (All Types)|000000000001109751
16|TANK, BOLTED STEEL,10000 BBL Tank (All Types)|000000000001109752
17|TANK, WELDED STEEL,15000 BBL Tank (All Types)|000000000001109753
18|TANK, WELDED STEEL,20000 BBL Tank (All Types)|000000000001109754
19|TANK, WELDED STEEL,30000 BBL Tank (All Types)|000000000001109755
20|TANK, WELDED STEEL,50000 BBL Tank (All Types)|000000000001109756
21|TANK, BOLTED STEEL,500 BBL Tank (All Types)|000000000001109758
22|TANK, BOLTED STEEL,750 BBL Tank (All Types)|000000000001109759
23|TANK, BOLTED STEEL, 1500 BBL Tank (All Types)|000000000001109760
24|TANK, WELDED STEEL,7500 BBL Tank (All Types)|000000000001109773
25|TANK, WELDED STEEL,500 BBL Tank (All Types)|000000000001109789
26|TANK, WELDED STEEL,1000 BBL Tank (All Types)|000000000001109808
27|TANK, WELDED STEEL,300 BBL Tank (All Types)|000000000001109866
28|TANK, WELDED STEEL,400 BBL Tank (All Types)|000000000001109876
29|TANK, WELDED STEEL,750 BBL Tank (All Types)|000000000001109937
30|TANK, WELDED STEEL,1500 BBL Tank (All Types)|000000000001109940
31|TANK, WELDED STEEL,4000 BBL Tank (All Types)|000000000001109966
32|TANK, BOLTED STEEL,2000 BBL Tank (All Types)|000000000001109979
33|TANK, WELDED STEEL,10000 BBL Tank (All Types)|000000000001109994
34|TANK, BOLTED STEEL,3000 BBL Tank (All Types)|000000000001110618
35|TANK, BOLTED STEEL,5000 BBL Tank (All Types)|000000000001110639
36|TANK, BOLTED STEEL,15000 BBL Tank (All Types)|000000000001110669
37|TANK, BOLTED STEEL,1000 BBL Tank (All Types)|000000000001110670
38|WEMCO,144X Tank (All Types)|000000000001110909
39|WEMCO,76 Tank (All Types)|000000000001111148
40|WEMCO,84 Tank (All Types)|000000000001111149
41|WEMCO,84X Tank (All Types)|000000000001111150
42|WEMCO,120X Tank (All Types)|000000000001111151
43|TANK, WELDED STEEL,8700 BBL Tank (All Types)|000000000001112340
44|WAUKESHA,L5790GU,V12,ENGINE Internal Combustion Engine|000000000001112727
45|2" STD GALV PIPE Transfer Pipe Line|000000000001113434
46|2" XH GALV PIPE Flow Line/Injection Line|000000000001113436
47|2" SCH 40 FULLFINISH PIPE Flow Line/Injection Line|000000000001113444
48|2" STD BLK PIPE Flow Line/Injection Line|000000000001113445
49|2" STD GALV PIPE Flow Line/Injection Line|000000000001113446
50|4" SCH 10 304LSS FULLFINISH PIPE Transfer Pipe Line|000000000001113449
51|4" SCH 10 316LSS FULLFINISH PIPE Transfer Pipe Line|000000000001113450
52|6" SCH10 316LSS PIPE Transfer Pipe Line|000000000001113451
53|8" SCH10 316LSS PIPE Transfer Pipe Line|000000000001113452
54|4" SS 10S PIPE Transfer Pipe Line|000000000001113453
55|4" STD BLK SRL IMP PIPE Transfer Pipe Line|000000000001113454
56|4" STD BLK SRL PIPE Transfer Pipe Line|000000000001113455
57|4" STD BLK DRL PIPE Transfer Pipe Line|000000000001113456
58|4" STD BLK AP15L PIPE Transfer Pipe Line|000000000001113457
59|6" STD 12.92# BLK PIPE Transfer Pipe Line|000000000001113458
60|6" STD 17.02# BLK PIPE Transfer Pipe Line|000000000001113459
61|6" STD BLK DRL PIPE Transfer Pipe Line|000000000001113460
62|6" STD BLK SRL PIPE Transfer Pipe Line|000000000001113461
63|6" STD BLK A53B PIPE Transfer Pipe Line|000000000001113462
64|6" STD BLK A53 PIPE Transfer Pipe Line|000000000001113463
65|8" BLK PIPE Transfer Pipe Line|000000000001113464
66|8" SCH 20 BLK PIPE Transfer Pipe Line|000000000001113465
67|8" STD PIPE Transfer Pipe Line|000000000001113466
68|8" STD BLK A53 DRL PIPE Transfer Pipe Line|000000000001113467
69|8" STD BLK A53B DRL PIPE Transfer Pipe Line|000000000001113468
70|8" STD BLK A53 SRL PIPE Transfer Pipe Line|000000000001113469
71|8" STD BLK A53B SRL PIPE Transfer Pipe Line|000000000001113470
72|12" STD PIPE Transfer Pipe Line|000000000001113471
73|10" STD PIPE Transfer Pipe Line|000000000001113472
74|2" WZAP LOK ENDS PIPE Flow Line/Injection Line|000000000001113473
75|2" STD WELDED PIPE Flow Line/Injection Line|000000000001113474
76|TANK, WELDED STEEL,25000 BBL Tank (All Types)|000000000001113476
77|4" STD BLK PIPE Transfer Pipe Line|000000000001113550
78|TANK, WELDED STEEL,600 BBL Tank (All Types)|000000000001114347
79|AITKEN INC.1630-24 VBS,VERT, BASKET FLTR Filter|000000000001115794
80|HEAT EXCHANGER MODEL: LHXR-0750-SCS Vessel Heat  Exchanger|000000000001117499
81|8" XH 43.39 BLK DRL PIPE Transfer Pipe Line|000000000001118619
82|8" XH BLK SRL PIPE Transfer Pipe Line|000000000001118620
83|8" XH 43.89 BLK DRL PIPE Transfer Pipe Line|000000000001118621
84|14" STD BLK PIPE Transfer Pipe Line|000000000001118622
85|2" XH BLK DRL PIPE Flow Line/Injection Line|000000000001118623
86|3" XH BLK SRL PIPE Transfer Pipe Line|000000000001118624
87|2" XH DRL PIPE Flow Line/Injection Line|000000000001118625
88|3" XH BLK DRL PIPE Transfer Pipe Line|000000000001118626
89|6" XH BLK CS PIPE Transfer Pipe Line|000000000001118628
90|6" XH BLK CS PIPE Transfer Pipe Line|000000000001118629
91|TANK, WELDED STEEL,6000 BBL Tank (All Types)|000000000001119859
92|18" STD SA106 PIPE Transfer Pipe Line|000000000001119861
93|WAUKESHA,F3521GL,INLINE 6,ENGINE Internal Combustion Engine|000000000001119936
94|WAUKESHA,L7042GL,V12,ENGINE Internal Combustion Engine|000000000001119937
95|WAUKESHA,L7042GU,V12,ENGINE Internal Combustion Engine|000000000001119938
96|WAUKESHA,L5790GSI,V12,ENGINE Internal Combustion Engine|000000000001119940
97|WHITE SUPERIOR,8G825,ENGINE Internal Combustion Engine|000000000001119944
98|WAUKESHA,L7042GSI,V12,ENGINE Internal Combustion Engine|000000000001119945
99|CUMMINS,6BTA 5.9-M,IN-LINE 6,ENGINE Internal Combustion Engine|000000000001119975
100|WHITE SUPERIOR,8GT825,ENGINE Internal Combustion Engine|000000000001120119
101|AJAX,DPC-450,ENGINE Internal Combustion Engine|000000000001120120
102|CUMMINS,V-504-F2,ENGINE Internal Combustion Engine|000000000001120202
103|CATERPILLAR,3412,IN-LINE 6, ENGINE Internal Combustion Engine|000000000001120304
104|2" LACT UNIT Lease Auto. Custody Transfer|000000000001131429
105|4" LACT UNIT Lease Auto. Custody Transfer|000000000001131430
106|8" LACT UNIT Lease Auto. Custody Transfer|000000000001131432
107|16" XH BLK PIPE Transfer Pipe Line|000000000001135037
108|20" STD BLK PIPE Transfer Pipe Line|000000000001135038
109|GENERIC FLOWLINE PIPE Flow Line/Injection Line|000000000001141544
110|GENERIC MAIN PIPE Main Pipe Line|000000000001142524
111|GENERIC TRANSFER PIPE Transfer Pipe Line|000000000001142525
112|DEUTZ AG, MODEL: TCD 2012 L04 2V,ENGINE Internal Combustion Engine|000000000001142767
113|8" STD SRL IMP PIPE Transfer Pipe Line|000000000001146418
114|24" STD BLK PIPE Transfer Pipe Line|000000000001146419
115|TANK, WELDED STEEL,8500 BBL Tank (All Types)|000000000001159194
116|CATERPILLAR,G398NA, ENGINE Internal Combustion Engine|000000000001159196
117|VALVE,BALL,APOLLO, 3/4",BALL VALVE Valves|000000000001160520
118|2" BLK CS SRL PIPE Flow Line/Injection Line|000000000001161423
119|TANK, WELDED STEEL,33000 BBL Tank (All Types)|000000000001161514
120|TANK, WELDED STEEL,329 BBL Tank (All Types)|000000000001161515
121|TANK, WELDED STEEL,960 BBL Tank (All Types)|000000000001161516
122|TANK, WELDED STEEL,4120 BBL Tank (All Types)|000000000001161517
123|TANK, WELDED STEEL,3150 BBL Tank (All Types)|000000000001161518
124|TANK, WELDED STEEL,630 BBL Tank (All Types)|000000000001161519
125|TANK, WELDED STEEL,4100 BBL Tank (All Types)|000000000001161520
126|TANK, WELDED STEEL 14,000 BBL Tank (All Types)|000000000001161784
127|4" STD A106 PIPE Transfer Pipe Line|000000000001162577
128|6" STD BLK A106 PIPE Transfer Pipe Line|000000000001162578
129|8" STD BLK A106 PIPE Transfer Pipe Line|000000000001162579
130|10" STD BLK A106 PIPE Transfer Pipe Line|000000000001162580
131|10" STD XH BLK A106 PIPE Transfer Pipe Line|000000000001162581
132|12" STD A106 PIPE Transfer Pipe Line|000000000001162582
133|12"STD XH A106 PIPE Transfer Pipe Line|000000000001162583
134|TANK, STAINLESS STEEL,33000 BBL Tank (All Types)|000000000001163852
135|TANK, WELDED STEEL,4110 BBL Tank (All Types)|000000000001163865
136|TANK, FRP,329 BBL Tank (All Types)|000000000001163866
137|TANK, FRP,960 BBL Tank (All Types)|000000000001163870
138|2" BLK SRL PIPE Flow Line/Injection Line|000000000001163934
139|3" SCH 40 A106B PIPE Transfer Pipe Line|000000000001164170
140|TANK, FRP,4120 BBL Tank (All Types)|000000000001165229
141|TANK, FRP,630 BBL Tank (All Types)|000000000001165230
142|2" SS 40S PIPE Transfer Pipe Line|000000000001165805
143|8" SS 10S PIPE Transfer Pipe Line|000000000001165806
144|10" SS 10S PIPE Transfer Pipe Line|000000000001165807
145|14" SS 10S PIPE Transfer Pipe Line|000000000001165808
146|30" SS 10S PIPE Transfer Pipe Line|000000000001165809
147|4" SS 10S PIPE Transfer Pipe Line|000000000001165810
148|12" SS 10S PIPE Transfer Pipe Line|000000000001165811
149|18" SS 10S PIPE Transfer Pipe Line|000000000001165812
150|6" SS 10S PIPE Transfer Pipe Line|000000000001165813
